Horizon_min,Model_used,Test_Direction_Acc_%,Majority_Baseline_%,Test_MAE_₹,Test_RMSE_₹,Beats_Baseline_pp
5,GRU,53.472472112270594,53.472472112270594,98.88404083251953,169.35386168832997,0.0
10,GRU,52.428931270241094,52.42893127024109,130.35047912597656,219.44089110168142,7.105427357601002e-15
15,XGBoost,47.679021230658506,52.17704210147536,150.3025665283203,252.0000465029719,-4.498020870816852
20,XGBoost,46.995322058294356,52.82475710687298,173.45680236816406,282.8345226232116,-5.829435048578624
25,GRU,53.004677941705644,53.004677941705644,189.970947265625,311.5164772929355,0.0
30,XGBoost,46.34760705289673,53.256567110471394,210.5956573486328,338.9190998601289,-6.908960057574667
45,XGBoost,45.34005037783375,54.80388629003239,284.3589782714844,438.0439297319391,-9.46383591219864
60,GRU,42.96509535804246,57.03490464195754,362.2136535644531,551.5932604736936,-14.069809283915077
